name,country,admin1,Mass gathering restrictions,Stay at Home Order,Educational facilities closed,Initial business closures,Non-essential services closed,Travel severely limited,Source Mass gathering restrictions,Source Stay at Home Order,Source Educational facilities closed,Source Initial business closure,Source Non-essential services closed,Source Travel severely limited
Baden-Wurttemberg,Germany,Baden-Wurttemberg,full implementation,21.03.2020,17.03.2020,full implementation,21.03.2020,not implemented,https://stm.baden-wuerttemberg.de/fileadmin/redaktion/dateien/PDF/Coronainfos/200322_Rechtsverordnung_englisch.pdf,https://stm.baden-wuerttemberg.de/fileadmin/redaktion/dateien/PDF/Coronainfos/200322_Rechtsverordnung_englisch.pdf,https://stm.baden-wuerttemberg.de/fileadmin/redaktion/dateien/PDF/200317_StM_VO_IfSG_Corona.pdf,https://stm.baden-wuerttemberg.de/fileadmin/redaktion/dateien/PDF/Coronainfos/200322_Rechtsverordnung_englisch.pdf,https://stm.baden-wuerttemberg.de/fileadmin/redaktion/dateien/PDF/Coronainfos/200322_Rechtsverordnung_englisch.pdf,
Bavaria,Germany,Bavaria,full implementation,21.03.2020,16.03.2020,17.03.2020,21.03.2020,not implemented,https://www.stmgp.bayern.de/presse/ausgangsbeschraenkung-in-bayern-wegen-coronavirus-pandemie-gesundheitsministerin-huml/,https://www.stmgp.bayern.de/presse/ausgangsbeschraenkung-in-bayern-wegen-coronavirus-pandemie-gesundheitsministerin-huml/,https://www.reuters.com/article/us-health-coronavirus-germany-schools/german-state-of-bavaria-closes-schools-to-slow-coronavirus-epidemic-dpa-idUSKBN2100SA,http://www.xinhuanet.com/english/2020-03/16/c_138884534.htm,https://www.stmgp.bayern.de/presse/ausgangsbeschraenkung-in-bayern-wegen-coronavirus-pandemie-gesundheitsministerin-huml/,
Berlin,Germany,Berlin,full implementation,23.03.2020,23.03.2020,14.03.2020,23.03.2020,not implemented,https://www.berlin.de/corona/en/measures/,https://www.berlin.de/corona/en/measures/,https://www.berlin.de/corona/massnahmen/verordnung/,https://www.spiegel.de/panorama/gesellschaft/coronavirus-mehrere-bundeslaender-schraenken-oeffentliches-leben-massiv-ein-a-d1563908-34d8-46ee-ae40-520e34f82c88,https://www.berlin.de/corona/massnahmen/verordnung/,
Brandenburg,Germany,Brandenburg,full implementation,17.03.2020,18.03.2020,full implementation,17.03.2020,not implemented,"https://www.maerkisch-oderland.de/de/datei/anzeigen/id/18585,1249/sars-cov-2-eindv.pdf","https://www.maerkisch-oderland.de/de/datei/anzeigen/id/18585,1249/sars-cov-2-eindv.pdf","https://www.maerkisch-oderland.de/de/datei/anzeigen/id/18585,1249/sars-cov-2-eindv.pdf","https://www.maerkisch-oderland.de/de/datei/anzeigen/id/18585,1249/sars-cov-2-eindv.pdf","https://www.maerkisch-oderland.de/de/datei/anzeigen/id/18585,1249/sars-cov-2-eindv.pdf",
Bremen,Germany,Bremen,full implementation,22.03.2020,16.03.2020,full implementation,20.03.2020,not implemented,https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248,https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.331761.de&asl=,https://www.amtliche-bekanntmachungen.bremen.de/allgemeinverfuegung-ueber-das-verbot-von-veranstaltungen-zusammenkuenften-und-der-oeffnung-bestimmter-betriebe-46847299; https://www.senatspressestelle.bremen.de/pressemitteilungen-1464?id=1464&skip=20,https://www.amtliche-bekanntmachungen.bremen.de/allgemeinverfuegung-ueber-das-verbot-von-veranstaltungen-zusammenkuenften-und-der-oeffnung-bestimmter-betriebe-46847299; https://www.senatspressestelle.bremen.de/pressemitteilungen-1464?id=1464&skip=20,
Germany,Germany,Bremen,full implementation,22.03.2020,16.03.2020,full implementation,20.03.2020,not implemented,https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248,https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.331761.de&asl=,https://www.amtliche-bekanntmachungen.bremen.de/allgemeinverfuegung-ueber-das-verbot-von-veranstaltungen-zusammenkuenften-und-der-oeffnung-bestimmter-betriebe-46847299; https://www.senatspressestelle.bremen.de/pressemitteilungen-1464?id=1464&skip=20,https://www.amtliche-bekanntmachungen.bremen.de/allgemeinverfuegung-ueber-das-verbot-von-veranstaltungen-zusammenkuenften-und-der-oeffnung-bestimmter-betriebe-46847299; https://www.senatspressestelle.bremen.de/pressemitteilungen-1464?id=1464&skip=20,
Hamburg,Germany,Hamburg,full implementation,22.03.2020,16.03.2020,15.03.2020,not implemented,not implemented,https://www.hamburg.de/allgemeinverfuegungen/13746326/2020-03-22-voruebergehende-kontaktbeschraenkungen/,https://www.hamburg.de/allgemeinverfuegungen/13746326/2020-03-22-voruebergehende-kontaktbeschraenkungen/,https://www.hamburg.de/coronavirus/pressemeldungen/13721230/2015-03-03-sk-massnahmen-corona-virus/,https://www.thelocal.de/20200316/coronavirus-restrictions-whats-closed-and-whats-open-in-germany,,
Hesse,Germany,Hesse,full implementation,22.03.2020,16.03.2020,15.03.2020,not implemented,not implemented,https://www.hessen.de/presse/pressemitteilung/gemeinsame-leitlinien-von-bund-und-laendern-weiter-verschaerft,https://www.hessen.de/presse/pressemitteilung/gemeinsame-leitlinien-von-bund-und-laendern-weiter-verschaerft,https://www.hessen.de/presse/pressemitteilung/wir-muessen-die-ausbreitung-der-infektionen-verlangsamen,https://www.thelocal.de/20200316/coronavirus-restrictions-whats-closed-and-whats-open-in-germany,https://www.hessen.de/presse/pressemitteilung/gemeinsame-leitlinien-von-bund-und-laendern-weiter-verschaerft,
Mecklenburg-Western Pomerania,Germany,Mecklenburg-Western Pomerania,full implementation,23.03.2020,16.03.2020,full implementation,18.03.2020,not implemented,https://www.regierung-mv.de/Aktuell/?id=158736&processor=processor.sa.pressemitteilung,https://www.regierung-mv.de/Aktuell/?id=158736&processor=processor.sa.pressemitteilung,https://www.regierung-mv.de/Aktuell/?id=158508&processor=processor.sa.pressemitteilung,https://www.regierung-mv.de/Aktuell/?id=158587&processor=processor.sa.pressemitteilung,https://www.regierung-mv.de/Aktuell/?id=158587&processor=processor.sa.pressemitteilung,
Lower Saxony,Germany,Lower Saxony,full implementation,23.03.2020,16.03.2020,full implementation,27.03.2020,not implemented,https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248,https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248,https://www.niedersachsen.de/Coronavirus/erlasse-und-allgemeinverfuegung/erlasse-und-allgemeinverfuegung-186628.html,https://www.niedersachsen.de/politik_staat/gesetze_verordnungen_und_sonstige_vorschriften/aktuelle_verkundungsblatter/download-verkuendungsblaetter-108794.html,https://www.niedersachsen.de/politik_staat/gesetze_verordnungen_und_sonstige_vorschriften/aktuelle_verkundungsblatter/download-verkuendungsblaetter-108794.html,
North Rhine-Westphalia,Germany,North Rhine-Westphalia,full implementation,23.03.2020,16.03.2020,26.02.2020,23.03.2020,not implemented,https://www.land.nrw/de/pressemitteilung/landesregierung-beschliesst-weitreichendes-kontaktverbot-und-weitere-massnahmen-zur,https://www.land.nrw/de/pressemitteilung/landesregierung-beschliesst-weitreichendes-kontaktverbot-und-weitere-massnahmen-zur,https://www.land.nrw/de/pressemitteilung/ministerin-gebauer-die-landesweite-einstellung-des-unterrichtsbetriebs-ist-eine,https://rp-online.de/nrw/staedte/kreis-heinsberg/coronavirus-erste-fall-im-kreis-heinsberg-fotos_bid-49197405,https://www.mags.nrw/erlasse-des-nrw-gesundheitsministeriums-zur-bekaempfung-der-corona-pandemie,
Rhineland-Palatinate,Germany,Rhineland-Palatinate,full implementation,22.03.2020,16.03.2020,full implementation,23.03.2020,not implemented,https://corona.rlp.de/de/aktuelles/detail/news/News/detail/bund-und-laender-einigen-sich-auf-erweiterung-von-corona-schutzmassnahmen-1/,https://corona.rlp.de/de/aktuelles/detail/news/News/detail/bund-und-laender-einigen-sich-auf-erweiterung-von-corona-schutzmassnahmen-1/,https://www.rlp.de/de/buergerportale/informationen-zum-coronavirus/schulen-und-kitas/,https://www.rlp.de/fileadmin/rlp-stk/pdf-Dateien/Corona/2020-03-23_3._CoBeLVO.pdf,https://www.rlp.de/fileadmin/rlp-stk/pdf-Dateien/Corona/2020-03-23_3._CoBeLVO.pdf,
Saarland,Germany,Saarland,full implementation,21.03.2020,16.03.2020,15.03.2020,not implemented,not implemented,https://www.saarland.de/SID-80EAC3AE-AB42DE56/254312.htm,https://www.saarland.de/SID-80EAC3AE-AB42DE56/254312.htm,https://www.spiegel.de/international/germany/germany-states-move-to-close-educational-and-daycare-facilities-a-e9c13296-002b-484b-88bc-e14ea295ff10,https://www.thelocal.de/20200316/coronavirus-restrictions-whats-closed-and-whats-open-in-germany,,
Saxony,Germany,Saxony,full implementation,23.03.2020,23.03.2020,full implementation,23.03.2020,not implemented,https://www.coronavirus.sachsen.de/amtliche-bekanntmachungen.html,https://www.coronavirus.sachsen.de/amtliche-bekanntmachungen.html,https://www.coronavirus.sachsen.de/download/AllgV-Corona-Schulen-und-Kita-23032020.pdf,https://www.spiegel.de/panorama/gesellschaft/coronavirus-mehrere-bundeslaender-schraenken-oeffentliches-leben-massiv-ein-a-d1563908-34d8-46ee-ae40-520e34f82c88,https://medienservice.sachsen.de/medien/news/235290,
Saxony-Anhalt,Germany,Saxony-Anhalt,full implementation,22.03.2020,16.03.2020,full implementation,24.03.2020,not implemented,https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248,https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248,https://www.spiegel.de/international/germany/germany-states-move-to-close-educational-and-daycare-facilities-a-e9c13296-002b-484b-88bc-e14ea295ff10,https://www.landesrecht.sachsen-anhalt.de/bsst/document/jlr-CoronaV2VSTpP5,https://www.landesrecht.sachsen-anhalt.de/bsst/document/jlr-CoronaV2VSTpP5,
Schleswig-Holstein,Germany,Schleswig-Holstein,full implementation,24.03.2020,16.03.2020,14.03.2020,24.03.2020,not implemented,https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/PI/2020/MP/200323_Erlass.html,https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/PI/2020/MP/200323_Erlass.html,https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_Schulen_Kitas.html;jsessionid=5514E56F90C517D9719600398EC4CCD2.delivery1-master,https://www.spiegel.de/panorama/gesellschaft/coronavirus-mehrere-bundeslaender-schraenken-oeffentliches-leben-massiv-ein-a-d1563908-34d8-46ee-ae40-520e34f82c88,https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/PI/2020/MP/200323_Erlass.html,
Thuringia,Germany,Thuringia,full implementation,22.03.2020,17.03.2020,15.03.2020,not implemented,not implemented,https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248,https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248,https://www.spiegel.de/international/germany/germany-states-move-to-close-educational-and-daycare-facilities-a-e9c13296-002b-484b-88bc-e14ea295ff10,https://www.thelocal.de/20200316/coronavirus-restrictions-whats-closed-and-whats-open-in-germany,,
Andalucia,Spain,Andalucia,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Aragon,Spain,Aragon,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Principado de Asturias,Spain,Principado de Asturias,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Islas Baleares,Spain,Islas Baleares,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Islas Canarias,Spain,Islas Canarias,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Cantabria,Spain,Cantabria,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Castilla-La Mancha,Spain,Castilla-La Mancha,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Castilla y Leon,Spain,Castilla y Leon,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Cataluna,Spain,Cataluna,11.03.2020,15.03.2020,14.03.2020,12.03.2020,15.03.2020,not implemented,https://www.eldiario.es/catalunya/Catalunya-prohibe-eventos-personas-coronavirus_0_1004749678.html,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.garda.com/crisis24/news-alerts/322531/spain-government-places-four-localities-on-lockdown-in-catalonia-as-of-march-12-update-5,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
