,State,Expires,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Houses of worship,Industries
0,Alabama,4/30/2020,4/30/2020,4/30/2020,5/11/2020,5/11/2020,5/22/2020,,
1,Alaska,4/24/2020,4/24/2020,4/24/2020,4/24/2020,4/24/2020,5/8/2020,4/24/2020,
2,Arizona,5/15/2020,5/13/2020,5/8/2020,5/11/2020,5/8/2020,5/15/2020,,
3,Arkansas,No Stay Home Order,5/1/2020,,5/11/2020,5/6/2020,5/18/2020,,
4,California,,6/12/2020,5/25/2020,5/12/2020,5/12/2020,6/12/2020,5/25/2020,5/8/2020
5,Colorado,4/26/2020,5/12/2020,5/1/2020,5/27/2020,5/1/2020,6/18/2020,,5/4/2020
6,Connecticut,5/20/2020,5/22/2020,5/20/2020,6/17/2020,6/1/2020,5/20/2020,,5/20/2020
7,Delaware,5/31/2020,5/22/2020,6/1/2020,5/15/2020,6/1/2020,6/1/2020,,
8,District of Columbia,5/29/2020,5/29/2020,6/22/2020,6/22/2020,5/29/2020,6/22/2020,6/22/2020,
9,Florida,5/4/2020,5/4/2020,5/18/2020,5/18/2020,5/11/2020,5/4/2020,,
10,Georgia,4/30/2020,4/24/2020,5/1/2020,4/27/2020,4/24/2020,4/24/2020,,
11,Hawaii,5/31/2020,4/25/2020,5/7/2020,6/5/2020,5/7/2020,6/19/2020,5/30/2020,5/22/2020
12,Idaho,4/30/2020,5/16/2020,5/1/2020,5/16/2020,5/16/2020,5/30/2020,5/1/2020,
13,Illinois,5/29/2020,5/1/2020,5/29/2020,6/26/2020,5/1/2020,6/26/2020,5/28/2020,5/29/2020
14,Indiana,5/4/2020,6/1/2020,5/18/2020,5/23/2020,5/23/2020,5/4/2020,5/8/2020,5/4/2020
15,Iowa,No Stay Home Order,5/8/2020,5/15/2020,5/15/2020,5/8/2020,5/1/2020,5/1/2020,
16,Kansas,5/3/2020,5/18/2020,5/4/2020,5/4/2020,5/18/2020,5/22/2020,5/4/2020,5/4/2020
17,Kentucky,,6/1/2020,5/20/2020,5/22/2020,5/11/2020,6/1/2020,5/9/2020,5/11/2020
18,Louisiana,5/15/2020,5/15/2020,5/15/2020,5/15/2020,5/15/2020,5/15/2020,5/15/2020,
19,Maine,5/31/2020,5/1/2020,6/1/2020,6/17/2020,5/1/2020,7/1/2020,5/29/2020,
20,Maryland,5/15/2020,5/7/2020,5/15/2020,5/29/2020,5/15/2020,6/19/2020,5/15/2020,5/15/2020
21,Massachusetts,5/18/2020,5/7/2020,6/8/2020,6/22/2020,5/25/2020,,5/18/2020,5/18/2020
22,Michigan,6/1/2020,4/24/2020,6/4/2020,6/8/2020,6/4/2020,6/10/2020,,5/7/2020
23,Minnesota,5/17/2020,5/31/2020,5/17/2020,6/10/2020,5/31/2020,6/10/2020,5/26/2020,4/26/2020
24,Mississippi,4/27/2020,5/7/2020,4/27/2020,5/7/2020,5/11/2020,5/21/2020,,
25,Missouri,5/3/2020,5/4/2020,5/4/2020,5/4/2020,5/4/2020,5/4/2020,,
26,Montana,4/26/2020,5/15/2020,4/27/2020,5/4/2020,4/27/2020,5/15/2020,4/26/2020,
27,Nebraska,No Stay Home Order,6/22/2020,,6/1/2020,6/1/2020,6/22/2020,5/4/2020,
28,Nevada,5/9/2020,5/1/2020,5/9/2020,5/9/2020,5/9/2020,5/29/2020,5/29/2020,
29,New Hampshire,6/15/2020,5/11/2020,5/11/2020,6/15/2020,5/11/2020,6/15/2020,,
30,New Jersey,6/9/2020,5/2/2020,6/15/2020,6/15/2020,6/22/2020,6/15/2020,6/9/2020,5/18/2020
31,New Mexico,5/31/2020,5/1/2020,5/16/2020,6/1/2020,5/1/2020,,5/16/2020,5/16/2020
32,New York,5/28/2020,5/22/2020,6/22/2020,6/4/2020,6/12/2020,6/26/2020,5/21/2020,6/8/2020
33,North Carolina,5/22/2020,5/22/2020,5/8/2020,5/22/2020,5/22/2020,,5/16/2020,
34,North Dakota,No Stay Home Order,5/1/2020,,5/1/2020,5/1/2020,5/1/2020,,
35,Ohio,5/29/2020,5/21/2020,5/12/2020,5/21/2020,5/15/2020,6/10/2020,,5/4/2020
36,Oklahoma,No Stay Home Order,4/24/2020,4/24/2020,5/1/2020,4/24/2020,5/1/2020,5/1/2020,5/1/2020
37,Oregon,,5/5/2020,5/15/2020,6/19/2020,6/19/2020,6/8/2020,6/19/2020,6/8/2020
38,Pennsylvania,6/4/2020,5/1/2020,6/5/2020,6/12/2020,6/12/2020,6/12/2020,,
39,Puerto Rico,7/22/2020,6/16/2020,5/26/2020,5/26/2020,5/26/2020,6/16/2020,6/16/2020,
40,Rhode Island,5/8/2020,5/9/2020,5/9/2020,6/1/2020,5/9/2020,,,5/9/2020
41,South Carolina,5/4/2020,4/21/2020,4/20/2020,5/11/2020,5/18/2020,5/26/2020,,
42,South Dakota,No Stay Home Order,,,,,,,
43,Tennessee,4/30/2020,4/24/2020,4/29/2020,4/27/2020,5/6/2020,5/22/2020,,
44,Texas,4/30/2020,4/20/2020,5/1/2020,5/1/2020,5/8/2020,5/1/2020,,5/18/2020
45,Utah,No Stay Home Order,5/1/2020,,5/1/2020,5/1/2020,,,
46,Vermont,5/15/2020,5/7/2020,5/18/2020,6/8/2020,5/29/2020,6/1/2020,,4/27/2020
47,Virginia,6/10/2020,5/28/2020,5/28/2020,6/12/2020,5/28/2020,6/12/2020,,
48,Washington,5/31/2020,5/5/2020,6/1/2020,6/1/2020,6/1/2020,6/11/2020,6/1/2020,5/15/2020
49,West Virginia,5/3/2020,5/18/2020,5/21/2020,5/21/2020,5/4/2020,5/26/2020,,
50,Wisconsin,5/13/2020,4/24/2020,5/11/2020,5/14/2020,4/29/2020,,,
51,Wyoming,No Stay Home Order,5/1/2020,,5/15/2020,5/1/2020,5/15/2020,3/21/2020,
