district,name,state,statename,timestamp,dataname,data
1,Kupwara,1,Jammu & Kashmir,06-04-2020,Cases,0
1,Kupwara,1,Jammu & Kashmir,06-04-2020,Deaths,0
2,Badgam,1,Jammu & Kashmir,06-04-2020,Cases,4
2,Badgam,1,Jammu & Kashmir,06-04-2020,Deaths,0
3,Leh(ladakh),37,Ladakh,06-04-2020,Cases,11
3,Leh(ladakh),37,Ladakh,06-04-2020,Deaths,0
4,Kargil,37,Ladakh,06-04-2020,Cases,3
4,Kargil,37,Ladakh,06-04-2020,Deaths,0
5,Punch,1,Jammu & Kashmir,06-04-2020,Cases,0
5,Punch,1,Jammu & Kashmir,06-04-2020,Deaths,0
6,Rajouri,1,Jammu & Kashmir,06-04-2020,Cases,1
6,Rajouri,1,Jammu & Kashmir,06-04-2020,Deaths,0
7,Kathua,1,Jammu & Kashmir,06-04-2020,Cases,0
7,Kathua,1,Jammu & Kashmir,06-04-2020,Deaths,0
8,Baramula,1,Jammu & Kashmir,06-04-2020,Cases,20
8,Baramula,1,Jammu & Kashmir,06-04-2020,Deaths,1
9,Bandipore,1,Jammu & Kashmir,06-04-2020,Cases,9
9,Bandipore,1,Jammu & Kashmir,06-04-2020,Deaths,0
10,Srinagar,1,Jammu & Kashmir,06-04-2020,Cases,44
10,Srinagar,1,Jammu & Kashmir,06-04-2020,Deaths,1
11,Ganderbal,1,Jammu & Kashmir,06-04-2020,Cases,1
11,Ganderbal,1,Jammu & Kashmir,06-04-2020,Deaths,0
12,Pulwama,1,Jammu & Kashmir,06-04-2020,Cases,2
12,Pulwama,1,Jammu & Kashmir,06-04-2020,Deaths,0
13,Shupiyan,1,Jammu & Kashmir,06-04-2020,Cases,4
13,Shupiyan,1,Jammu & Kashmir,06-04-2020,Deaths,0
14,Anantnag,1,Jammu & Kashmir,06-04-2020,Cases,0
14,Anantnag,1,Jammu & Kashmir,06-04-2020,Deaths,0
15,Kulgam,1,Jammu & Kashmir,06-04-2020,Cases,0
15,Kulgam,1,Jammu & Kashmir,06-04-2020,Deaths,0
16,Doda,1,Jammu & Kashmir,06-04-2020,Cases,0
16,Doda,1,Jammu & Kashmir,06-04-2020,Deaths,0
17,Ramban,1,Jammu & Kashmir,06-04-2020,Cases,0
17,Ramban,1,Jammu & Kashmir,06-04-2020,Deaths,0
18,Kishtwar,1,Jammu & Kashmir,06-04-2020,Cases,0
18,Kishtwar,1,Jammu & Kashmir,06-04-2020,Deaths,0
19,Udhampur,1,Jammu & Kashmir,06-04-2020,Cases,3
19,Udhampur,1,Jammu & Kashmir,06-04-2020,Deaths,0
20,Reasi,1,Jammu & Kashmir,06-04-2020,Cases,0
20,Reasi,1,Jammu & Kashmir,06-04-2020,Deaths,0
21,Jammu,1,Jammu & Kashmir,06-04-2020,Cases,18
21,Jammu,1,Jammu & Kashmir,06-04-2020,Deaths,0
22,Samba,1,Jammu & Kashmir,06-04-2020,Cases,0
22,Samba,1,Jammu & Kashmir,06-04-2020,Deaths,0
23,Chamba,2,Himachal Pradesh,06-04-2020,Cases,0
23,Chamba,2,Himachal Pradesh,06-04-2020,Deaths,0
24,Kangra,2,Himachal Pradesh,06-04-2020,Cases,4
24,Kangra,2,Himachal Pradesh,06-04-2020,Deaths,2
25,Lahul & Spiti,2,Himachal Pradesh,06-04-2020,Cases,0
25,Lahul & Spiti,2,Himachal Pradesh,06-04-2020,Deaths,0
26,Kullu,2,Himachal Pradesh,06-04-2020,Cases,0
26,Kullu,2,Himachal Pradesh,06-04-2020,Deaths,0
27,Mandi,2,Himachal Pradesh,06-04-2020,Cases,0
27,Mandi,2,Himachal Pradesh,06-04-2020,Deaths,0
28,Hamirpur,2,Himachal Pradesh,06-04-2020,Cases,0
28,Hamirpur,2,Himachal Pradesh,06-04-2020,Deaths,0
29,Una,2,Himachal Pradesh,06-04-2020,Cases,3
29,Una,2,Himachal Pradesh,06-04-2020,Deaths,0
30,Bilaspur,2,Himachal Pradesh,06-04-2020,Cases,0
30,Bilaspur,2,Himachal Pradesh,06-04-2020,Deaths,0
31,Solan,2,Himachal Pradesh,06-04-2020,Cases,7
31,Solan,2,Himachal Pradesh,06-04-2020,Deaths,1
32,Sirmaur,2,Himachal Pradesh,06-04-2020,Cases,0
32,Sirmaur,2,Himachal Pradesh,06-04-2020,Deaths,0
33,Shimla,2,Himachal Pradesh,06-04-2020,Cases,0
33,Shimla,2,Himachal Pradesh,06-04-2020,Deaths,0
34,Kinnaur,2,Himachal Pradesh,06-04-2020,Cases,0
34,Kinnaur,2,Himachal Pradesh,06-04-2020,Deaths,0
35,Gurdaspur,3,Punjab,06-04-2020,Cases,0
35,Gurdaspur,3,Punjab,06-04-2020,Deaths,0
36,Kapurthala,3,Punjab,06-04-2020,Cases,0
36,Kapurthala,3,Punjab,06-04-2020,Deaths,0
37,Jalandhar,3,Punjab,06-04-2020,Cases,6
37,Jalandhar,3,Punjab,06-04-2020,Deaths,0
38,Hoshiarpur,3,Punjab,06-04-2020,Cases,7
38,Hoshiarpur,3,Punjab,06-04-2020,Deaths,0
39,Shahid Bhagat Singh Nagar,3,Punjab,06-04-2020,Cases,19
39,Shahid Bhagat Singh Nagar,3,Punjab,06-04-2020,Deaths,1
40,Fatehgarh Sahib,3,Punjab,06-04-2020,Cases,0
40,Fatehgarh Sahib,3,Punjab,06-04-2020,Deaths,0
41,Ludhiana,3,Punjab,06-04-2020,Cases,5
41,Ludhiana,3,Punjab,06-04-2020,Deaths,1
42,Moga,3,Punjab,06-04-2020,Cases,0
42,Moga,3,Punjab,06-04-2020,Deaths,0
43,Firozpur,3,Punjab,06-04-2020,Cases,0
43,Firozpur,3,Punjab,06-04-2020,Deaths,0
44,Muktsar,3,Punjab,06-04-2020,Cases,0
44,Muktsar,3,Punjab,06-04-2020,Deaths,0
