Country,Value
Ecuador,16144363
Myanmar,53897154
Oman,4490541
Zambia,16211767
Cambodia,15577899
Timor-Leste,1245015
Greece,10823732
Montenegro,622388
Equatorial Guinea,845060
Hungary,9844686
Peru,31376670
Tajikistan,8481855
Panama,3929141
Cameroon,23344179
Tuvalu,9916
Guinea-Bissau,1844325
Gabon,1725292
Seychelles,92900
Kazakhstan,17544126
Iceland,330823
Tonga,106170
Chile,17948141
Grenada,106825
Antigua and Barbuda,91818
St. Martin (French part),31754
Venezuela,31108083
Georgia,3679000
Thailand,67959359
Denmark,5676002
Jamaica,2725941
Guinea,12608590
France,66808385
Netherlands,16936520
Bhutan,774830
Aruba,103889
Belize,359287
Slovenia,2063768
Turkmenistan,5373502
Papua New Guinea,7619321
Haiti,10711067
Ghana,27409893
Spain,46418269
Namibia,2458830
Belgium,11285721
Somalia,10787104
Brunei,423188
Brazil,207847528
Albania,2889167
Italy,60802085
Macedonia,2078453
Bosnia and Herzegovina,3810416
Burundi,11178921
Iran,79109272
Bermuda,65235
Malaysia,30331007
Yemen,26832215
Sao Tome and Principe,190344
Russia,144096812
Singapore,5535002
Djibouti,887861
Norway,5195921
Belarus,9513000
Turks and Caicos Islands,34339
Sierra Leone,6453184
Jordan,7594547
Madagascar,24235390
Liechtenstein,37531
Kyrgyz Republic,5957000
Algeria,39666519
South Africa,54956920
India,1311050527
Andorra,70473
French Polynesia,282764
Togo,7304578
Ivory Coast,22701556
Slovak Republic,5424050
Cayman Islands,59967
Saudi Arabia,31540372
Uganda,39032383
Costa Rica,4807850
Nicaragua,6082032
Rwanda,11609666
Ukraine,45198200
Honduras,8075060
Paraguay,6639123
New Zealand,4595700
Isle of Man,87780
Lesotho,2135022
Romania,19832389
"Korea, South",50617045
Mauritania,4067564
Finland,5482013
Mali,17599694
New Caledonia,273000
Dem. People's Rep. Korea,25155317
American Samoa,55538
Latvia,1978440
"Macao SAR, China",587606
Mexico,127017224
Afghanistan,32526562
Indonesia,257563815
Solomon Islands,583591
Ireland,4640703
Tanzania,53470420
Lithuania,2910199
Qatar,2235355
Cape Verde,520502
Bahrain,1377237
Syrian Arab Republic,18502413
Japan,126958472
Kiribati,112423
Tunisia,11107800
Nepal,28513700
United Kingdom,65138232
Dominican Republic,10528391
Fiji,892145
Botswana,2262485
Canada,35851774
Palau,21291
Burkina Faso,18105570
Kosovo,1797151
China,1371220000
Switzerland,8286976
Central African Republic,4900274
Estonia,1311998
Liberia,4503438
Marshall Islands,52993
Croatia,4224404
Vanuatu,264652
Mozambique,27977863
Turkey,78665830
Moldova,3554150
Gibraltar,32217
South Sudan,12339812
Chad,14037472
Faroe Islands,48199
Sri Lanka,20966000
Ethiopia,99390750
Laos,6802023
El Salvador,6126583
Swaziland,1286970
Bulgaria,7177991
Greenland,56114
Uruguay,3431555
Argentina,43416755
Czechia,10551219
Luxembourg,569676
Curacao,158040
Eritrea,4789568
Colombia,48228704
Dominica,72680
Egypt,91508084
Senegal,15129273
Malta,431333
US,321418820
Portugal,10348648
Poland,37999494
Benin,10879829
Kuwait,3892115
Puerto Rico,3474182
Samoa,193228
Mongolia,2959134
The Bahamas,388019
Morocco,34377511
Niger,19899120
Guatemala,16342897
Iraq,36423395
Armenia,3017712
Zimbabwe,15602751
Uzbekistan,31299500
Guyana,767085
Guam,169885
Monaco,37731
Germany,81413145
Cuba,11389562
Angola,25021974
Malawi,17215232
Lebanon,5850743
Nigeria,182201962
San Marino,31781
Bangladesh,160995642
Austria,8611088
Vietnam,91703800
Maldives,409163
Serbia,7098247
Pakistan,188924874
Barbados,284215
Suriname,542975
Northern Mariana Islands,55070
Democratic Republic of Congo,77266814
Israel,8380400
Mauritius,1262605
Kenya,46050302
United Arab Emirates,9156963
Bolivia,10724705
Azerbaijan,9651349
Libya,6278438
St. Kitts and Nevis,55572
Sudan,40234882
Trinidad and Tobago,1360088
St. Vincent and the Grenadines,109462
Australia,23781169
Sweden,9798871
Sint Maarten (Dutch part),38817
St. Lucia,184999
Philippines,100699395
Comoros,788474
Nauru,10222
Cyprus,1165300
