,fips,county_name,state_name,county_state
0,1001,Autauga County,Alabama,Autauga-Alabama
1,1003,Baldwin County,Alabama,Baldwin-Alabama
2,1005,Barbour County,Alabama,Barbour-Alabama
3,1007,Bibb County,Alabama,Bibb-Alabama
4,1009,Blount County,Alabama,Blount-Alabama
5,1011,Bullock County,Alabama,Bullock-Alabama
6,1013,Butler County,Alabama,Butler-Alabama
7,1015,Calhoun County,Alabama,Calhoun-Alabama
8,1017,Chambers County,Alabama,Chambers-Alabama
9,1019,Cherokee County,Alabama,Cherokee-Alabama
10,1021,Chilton County,Alabama,Chilton-Alabama
11,1023,Choctaw County,Alabama,Choctaw-Alabama
12,1025,Clarke County,Alabama,Clarke-Alabama
13,1027,Clay County,Alabama,Clay-Alabama
14,1029,Cleburne County,Alabama,Cleburne-Alabama
15,1031,Coffee County,Alabama,Coffee-Alabama
16,1033,Colbert County,Alabama,Colbert-Alabama
17,1035,Conecuh County,Alabama,Conecuh-Alabama
18,1037,Coosa County,Alabama,Coosa-Alabama
19,1039,Covington County,Alabama,Covington-Alabama
20,1041,Crenshaw County,Alabama,Crenshaw-Alabama
21,1043,Cullman County,Alabama,Cullman-Alabama
22,1045,Dale County,Alabama,Dale-Alabama
23,1047,Dallas County,Alabama,Dallas-Alabama
24,1049,DeKalb County,Alabama,DeKalb-Alabama
25,1051,Elmore County,Alabama,Elmore-Alabama
26,1053,Escambia County,Alabama,Escambia-Alabama
27,1055,Etowah County,Alabama,Etowah-Alabama
28,1057,Fayette County,Alabama,Fayette-Alabama
29,1059,Franklin County,Alabama,Franklin-Alabama
30,1061,Geneva County,Alabama,Geneva-Alabama
31,1063,Greene County,Alabama,Greene-Alabama
32,1065,Hale County,Alabama,Hale-Alabama
33,1067,Henry County,Alabama,Henry-Alabama
34,1069,Houston County,Alabama,Houston-Alabama
35,1071,Jackson County,Alabama,Jackson-Alabama
36,1073,Jefferson County,Alabama,Jefferson-Alabama
37,1075,Lamar County,Alabama,Lamar-Alabama
38,1077,Lauderdale County,Alabama,Lauderdale-Alabama
39,1079,Lawrence County,Alabama,Lawrence-Alabama
40,1081,Lee County,Alabama,Lee-Alabama
41,1083,Limestone County,Alabama,Limestone-Alabama
42,1085,Lowndes County,Alabama,Lowndes-Alabama
43,1087,Macon County,Alabama,Macon-Alabama
44,1089,Madison County,Alabama,Madison-Alabama
45,1091,Marengo County,Alabama,Marengo-Alabama
46,1093,Marion County,Alabama,Marion-Alabama
47,1095,Marshall County,Alabama,Marshall-Alabama
48,1097,Mobile County,Alabama,Mobile-Alabama
49,1099,Monroe County,Alabama,Monroe-Alabama
50,1101,Montgomery County,Alabama,Montgomery-Alabama
51,1103,Morgan County,Alabama,Morgan-Alabama
52,1105,Perry County,Alabama,Perry-Alabama
53,1107,Pickens County,Alabama,Pickens-Alabama
54,1109,Pike County,Alabama,Pike-Alabama
55,1111,Randolph County,Alabama,Randolph-Alabama
56,1113,Russell County,Alabama,Russell-Alabama
57,1115,St. Clair County,Alabama,St. Clair-Alabama
58,1117,Shelby County,Alabama,Shelby-Alabama
59,1119,Sumter County,Alabama,Sumter-Alabama
60,1121,Talladega County,Alabama,Talladega-Alabama
61,1123,Tallapoosa County,Alabama,Tallapoosa-Alabama
62,1125,Tuscaloosa County,Alabama,Tuscaloosa-Alabama
63,1127,Walker County,Alabama,Walker-Alabama
64,1129,Washington County,Alabama,Washington-Alabama
65,1131,Wilcox County,Alabama,Wilcox-Alabama
66,1133,Winston County,Alabama,Winston-Alabama
67,2013,Aleutians East Borough,Alaska,Aleutians East Borough-Alaska
68,2016,Aleutians West Census Area,Alaska,Aleutians West Census Area-Alaska
69,2020,Anchorage Municipality,Alaska,Anchorage Municipality-Alaska
70,2050,Bethel Census Area,Alaska,Bethel Census Area-Alaska
71,2060,Bristol Bay Borough,Alaska,Bristol Bay Borough-Alaska
72,2068,Denali Borough,Alaska,Denali Borough-Alaska
73,2070,Dillingham Census Area,Alaska,Dillingham Census Area-Alaska
74,2090,Fairbanks North Star Borough,Alaska,Fairbanks North Star Borough-Alaska
75,2100,Haines Borough,Alaska,Haines Borough-Alaska
76,2105,Hoonah-Angoon Census Area,Alaska,Hoonah-Angoon Census Area-Alaska
77,2110,Juneau City and Borough,Alaska,Juneau City and Borough-Alaska
78,2122,Kenai Peninsula Borough,Alaska,Kenai Peninsula Borough-Alaska
79,2130,Ketchikan Gateway Borough,Alaska,Ketchikan Gateway Borough-Alaska
80,2150,Kodiak Island Borough,Alaska,Kodiak Island Borough-Alaska
81,2158,Kusilvak Census Area,Alaska,Kusilvak Census Area-Alaska
82,2164,Lake and Peninsula Borough,Alaska,Lake and Peninsula Borough-Alaska
83,2170,Matanuska-Susitna Borough,Alaska,Matanuska-Susitna Borough-Alaska
84,2180,Nome Census Area,Alaska,Nome Census Area-Alaska
85,2185,North Slope Borough,Alaska,North Slope Borough-Alaska
86,2188,Northwest Arctic Borough,Alaska,Northwest Arctic Borough-Alaska
87,2195,Petersburg Borough,Alaska,Petersburg Borough-Alaska
88,2198,Prince of Wales-Hyder Census Area,Alaska,Prince of Wales-Hyder Census Area-Alaska
89,2220,Sitka City and Borough,Alaska,Sitka City and Borough-Alaska
90,2230,Skagway Municipality,Alaska,Skagway Municipality-Alaska
91,2240,Southeast Fairbanks Census Area,Alaska,Southeast Fairbanks Census Area-Alaska
92,2261,Valdez-Cordova Census Area,Alaska,Valdez-Cordova Census Area-Alaska
93,2270,Wade Hampton Census Area,Alaska,Wade Hampton Census Area-Alaska
94,2275,Wrangell City and Borough,Alaska,Wrangell City and Borough-Alaska
95,2282,Yakutat City and Borough,Alaska,Yakutat City and Borough-Alaska
96,2290,Yukon-Koyukuk Census Area,Alaska,Yukon-Koyukuk Census Area-Alaska
97,4001,Apache County,Arizona,Apache-Arizona
98,4003,Cochise County,Arizona,Cochise-Arizona
99,4005,Coconino County,Arizona,Coconino-Arizona
100,4007,Gila County,Arizona,Gila-Arizona
101,4009,Graham County,Arizona,Graham-Arizona
102,4011,Greenlee County,Arizona,Greenlee-Arizona
103,4012,La Paz County,Arizona,La Paz-Arizona
104,4013,Maricopa County,Arizona,Maricopa-Arizona
105,4015,Mohave County,Arizona,Mohave-Arizona
106,4017,Navajo County,Arizona,Navajo-Arizona
107,4019,Pima County,Arizona,Pima-Arizona
108,4021,Pinal County,Arizona,Pinal-Arizona
109,4023,Santa Cruz County,Arizona,Santa Cruz-Arizona
110,4025,Yavapai County,Arizona,Yavapai-Arizona
111,4027,Yuma County,Arizona,Yuma-Arizona
112,5001,Arkansas County,Arkansas,Arkansas-Arkansas
113,5003,Ashley County,Arkansas,Ashley-Arkansas
114,5005,Baxter County,Arkansas,Baxter-Arkansas
115,5007,Benton County,Arkansas,Benton-Arkansas
116,5009,Boone County,Arkansas,Boone-Arkansas
117,5011,Bradley County,Arkansas,Bradley-Arkansas
118,5013,Calhoun County,Arkansas,Calhoun-Arkansas
119,5015,Carroll County,Arkansas,Carroll-Arkansas
120,5017,Chicot County,Arkansas,Chicot-Arkansas
121,5019,Clark County,Arkansas,Clark-Arkansas
122,5021,Clay County,Arkansas,Clay-Arkansas
123,5023,Cleburne County,Arkansas,Cleburne-Arkansas
124,5025,Cleveland County,Arkansas,Cleveland-Arkansas
125,5027,Columbia County,Arkansas,Columbia-Arkansas
126,5029,Conway County,Arkansas,Conway-Arkansas
127,5031,Craighead County,Arkansas,Craighead-Arkansas
128,5033,Crawford County,Arkansas,Crawford-Arkansas
129,5035,Crittenden County,Arkansas,Crittenden-Arkansas
130,5037,Cross County,Arkansas,Cross-Arkansas
131,5039,Dallas County,Arkansas,Dallas-Arkansas
132,5041,Desha County,Arkansas,Desha-Arkansas
133,5043,Drew County,Arkansas,Drew-Arkansas
134,5045,Faulkner County,Arkansas,Faulkner-Arkansas
135,5047,Franklin County,Arkansas,Franklin-Arkansas
136,5049,Fulton County,Arkansas,Fulton-Arkansas
137,5051,Garland County,Arkansas,Garland-Arkansas
138,5053,Grant County,Arkansas,Grant-Arkansas
139,5055,Greene County,Arkansas,Greene-Arkansas
140,5057,Hempstead County,Arkansas,Hempstead-Arkansas
141,5059,Hot Spring County,Arkansas,Hot Spring-Arkansas
142,5061,Howard County,Arkansas,Howard-Arkansas
143,5063,Independence County,Arkansas,Independence-Arkansas
144,5065,Izard County,Arkansas,Izard-Arkansas
145,5067,Jackson County,Arkansas,Jackson-Arkansas
146,5069,Jefferson County,Arkansas,Jefferson-Arkansas
147,5071,Johnson County,Arkansas,Johnson-Arkansas
148,5073,Lafayette County,Arkansas,Lafayette-Arkansas
149,5075,Lawrence County,Arkansas,Lawrence-Arkansas
150,5077,Lee County,Arkansas,Lee-Arkansas
151,5079,Lincoln County,Arkansas,Lincoln-Arkansas
152,5081,Little River County,Arkansas,Little River-Arkansas
153,5083,Logan County,Arkansas,Logan-Arkansas
154,5085,Lonoke County,Arkansas,Lonoke-Arkansas
155,5087,Madison County,Arkansas,Madison-Arkansas
156,5089,Marion County,Arkansas,Marion-Arkansas
157,5091,Miller County,Arkansas,Miller-Arkansas
158,5093,Mississippi County,Arkansas,Mississippi-Arkansas
159,5095,Monroe County,Arkansas,Monroe-Arkansas
160,5097,Montgomery County,Arkansas,Montgomery-Arkansas
161,5099,Nevada County,Arkansas,Nevada-Arkansas
162,5101,Newton County,Arkansas,Newton-Arkansas
163,5103,Ouachita County,Arkansas,Ouachita-Arkansas
164,5105,Perry County,Arkansas,Perry-Arkansas
165,5107,Phillips County,Arkansas,Phillips-Arkansas
166,5109,Pike County,Arkansas,Pike-Arkansas
167,5111,Poinsett County,Arkansas,Poinsett-Arkansas
168,5113,Polk County,Arkansas,Polk-Arkansas
169,5115,Pope County,Arkansas,Pope-Arkansas
170,5117,Prairie County,Arkansas,Prairie-Arkansas
171,5119,Pulaski County,Arkansas,Pulaski-Arkansas
172,5121,Randolph County,Arkansas,Randolph-Arkansas
173,5123,St. Francis County,Arkansas,St. Francis-Arkansas
174,5125,Saline County,Arkansas,Saline-Arkansas
175,5127,Scott County,Arkansas,Scott-Arkansas
176,5129,Searcy County,Arkansas,Searcy-Arkansas
177,5131,Sebastian County,Arkansas,Sebastian-Arkansas
178,5133,Sevier County,Arkansas,Sevier-Arkansas
179,5135,Sharp County,Arkansas,Sharp-Arkansas
180,5137,Stone County,Arkansas,Stone-Arkansas
181,5139,Union County,Arkansas,Union-Arkansas
182,5141,Van Buren County,Arkansas,Van Buren-Arkansas
